日期,收盤價
2020-11-23,23.45
2020-11-24,23.15
2020-11-25,23.85
2020-11-26,24.65
2020-11-27,25.1
2020-11-30,24.7
2020-12-01,24.3
2020-12-02,24.65
2020-12-03,24.75
2020-12-04,24.2
2020-12-07,24.25
2020-12-08,26.65
2020-12-09,28.5
2020-12-10,28.9
2020-12-11,27.15
2020-12-14,29.45
2020-12-15,28.65
2020-12-16,29.65
2020-12-17,29.5
2020-12-18,30.6
2020-12-21,32.55
2020-12-22,30.2
2020-12-23,30.7
2020-12-24,31.0
2020-12-25,33.45
2020-12-28,36.75
2020-12-29,38.35
2020-12-30,38.2
2020-12-31,40.7
2021-01-04,44.75
2021-01-05,45.5
2021-01-06,42.55
2021-01-07,38.45
2021-01-08,40.3
2021-01-11,42.65
2021-01-12,38.55
2021-01-13,37.45
2021-01-14,38.05
2021-01-15,34.25
2021-01-18,34.0
2021-01-19,32.0
2021-01-20,30.45
2021-01-21,32.1
2021-01-22,35.0
2021-01-25,35.35
2021-01-26,33.65
2021-01-27,32.45
2021-01-28,33.2
2021-01-29,31.2
2021-02-01,31.2
2021-02-02,34.1
2021-02-03,33.55
2021-02-04,33.95
2021-02-05,33.7
2021-02-17,36.7
2021-02-18,37.45
2021-02-19,36.85
2021-02-22,39.4
2021-02-23,38.35
2021-02-24,36.75
2021-02-25,37.65
2021-02-26,37.95
2021-03-02,36.5
2021-03-03,38.05
2021-03-04,37.3
2021-03-05,37.3
2021-03-08,37.35
2021-03-09,38.4
2021-03-10,38.05
2021-03-11,38.15
2021-03-12,38.8
2021-03-15,40.0
2021-03-16,39.6
2021-03-17,40.1
2021-03-18,41.65
2021-03-19,41.7
2021-03-22,45.85
2021-03-23,42.75
2021-03-24,43.7
2021-03-25,41.7
2021-03-26,43.05
2021-03-29,43.8
2021-03-30,43.8
2021-03-31,45.5
2021-04-01,47.9
2021-04-06,49.5
2021-04-07,50.5
2021-04-08,52.3
2021-04-09,50.0
2021-04-12,55.0
2021-04-13,56.9
2021-04-14,59.9
2021-04-15,59.0
2021-04-16,63.3
2021-04-19,68.0
2021-04-20,69.0
2021-04-21,75.9
2021-04-22,72.9
2021-04-23,69.9
2021-04-26,76.8
2021-04-27,77.5
2021-04-28,76.8
2021-04-29,79.0
2021-05-03,86.6
2021-05-04,78.0
2021-05-05,79.9
2021-05-06,81.1
2021-05-07,85.0
2021-05-10,93.5
2021-05-11,95.6
2021-05-12,86.1
2021-05-13,77.5
2021-05-14,70.1
2021-05-17,63.1
2021-05-18,69.4
2021-05-19,76.3
2021-05-20,77.0
2021-05-21,84.7
2021-05-24,86.4
2021-05-25,82.4
2021-05-26,85.6
2021-05-27,87.7
2021-05-28,96.4
2021-05-31,98.6
2021-06-01,108.0
2021-06-02,110.5
2021-06-03,119.0
2021-06-04,116.5
2021-06-07,110.5
2021-06-08,115.5
2021-06-09,116.0
2021-06-10,113.5
2021-06-11,124.0
2021-06-15,136.0
2021-06-16,133.5
2021-06-17,136.5
2021-06-18,140.0
2021-06-21,152.0
2021-06-22,153.5
2021-06-23,138.5
2021-06-24,152.0
2021-06-25,160.0
2021-06-28,176.0
2021-06-29,179.5
2021-06-30,197.0
2021-07-01,213.0
2021-07-02,206.5
2021-07-05,217.0
2021-07-06,224.0
2021-07-07,202.0
2021-07-08,207.5
2021-07-09,187.0
2021-07-12,183.0
2021-07-13,165.0
2021-07-14,148.5
2021-07-15,163.0
2021-07-16,178.5
2021-07-19,186.0
2021-07-20,169.5
2021-07-21,155.0
2021-07-22,143.5
2021-07-23,154.0
2021-07-26,140.5
2021-07-27,126.5
2021-07-28,131.5
2021-07-29,144.5
2021-07-30,132.0
2021-08-02,141.5
2021-08-03,141.0
2021-08-04,143.5
2021-08-05,138.5
2021-08-06,142.0
2021-08-09,142.5
2021-08-10,139.5
2021-08-11,132.0
2021-08-12,137.0
2021-08-13,130.5
2021-08-16,130.5
2021-08-17,126.5
2021-08-18,136.0
2021-08-19,128.0
